V240001	V241174 - PRE: What does R like about Republican party [text]
344206	Well, when they say something, they'll do it. Democrats, they'll ponder around and, find all kinds of excuse. /AE/ No that's about it. 
344207	Well having served in the military. The rupublican party seems to care more about the military, they tend to be less involved in the government and tend to be more fiscally responsible/AO/ 
344295	Fiscal responsibility a/e/ strong foreign policy, tougher on crime, less taxes /ae/ smaller government /ae/ that's it. 
344307	They are for the middle class. /AE/ no 
345194	(Laughing) I'm not good at this, okay, umm...I'm more of a conservative. And, I feel that the Republican party aligns more with my beliefs and values. /AO/ Umm, like my stance on immigration, I believe that people should obey the laws and go through the process to be her legally. Or like with spending, were hearing about the Democratic party sending all this money overseas to help them and then the Hurricane that came through, we should be sending our funds to help the American people before were sending it overseas. I think the republican party can help us get in a better financial position to help the American people first and then help other countries when they need aid. /AO/ no 
345378	I like that their policies and views that if you work hard - I have friends from foreigh countries that are more socialist, i don't know what it's like there, you can come from nothing and still build yourself up, that we still have freedom of speech even though I know it's not going too well right now. I was trying to say the friends can earn a better living/have a better life here. Some we forget that America is the land of the free. /ae/ 
345578	focus on econimics 
345802	I like that there are members of the Republican party who do speak up on principal and speak to what are actually their values and how Trump and others dont fit that,I believe there are members of the Republican party who have best intent and endeavor to work in a bipartisan fashion/ae/ no 
345806	I like that they are now the party of the working class where democrats are not party of the elites /ao/ I like their policies. I am on a fixed income and I am paying 22% of federal taxes from social security check. 85% of social security is taxed. I am not a rich woman and don't that much money off the investment I have /ao/ no 
345922	Family oriented policy /AE/ No 
346005	I believe that they try to, or have tired to adhere to the constitution, and base the discussions, and make the laws based on the constitution. But the infighting and politics that's happened with the republican party recently, I don't see that happening. /AE/ At the moment no. 
346089	I am in awe sometime of theuir unfiltered and unfettered loyalty towards someone who's a crazy person who clearly does not want to do anything for the betterment of the country, only betterment for themselves. /AE/ Not necessarily like but in awe of the fact that if any democrat says one thing, it automatically gets twisted to comething that's off-topic, their spin ability is insane. /AE/ No, not so much. 
346091	Right now it would be getting back to the stabilization in the country. /AE/ No. 
346093	I like their fiscal policies or what they used to be/ae/no 
346628	I'm trying to think of some reasons. I think that during their reign interest rates are lower so it makes it easier to buy houses but at the same time that leads to higher national debt. /ae/ I'm having some hard times coming up with reasons so that's all for now. 
346848	I like how the Republican party wants citizens to be independent and not rely so much on the government. I like how they don't like taxes so much. 
346911	first abraham lincoln, strong roots and good things, too focused on the person who makes money instead of the person who produces the wealth/ae/ used to be a conservative influence that we need sometimes/ae/not much 
347066	position on gun rights,better on consitutional rights , 
347406	i think their are a few old resplublicans athat seem to do their djob in a certain way like mitt romney/ao/no 
347472	I like that they try to conserve money I guess the money of the country I feel they conserve it beter they conserve oyr finances better /ao/ I like that they tend to lean on more of family values I feel They might put families first I guess from what they say /ao/ I like thathey have an unwavering support for america /ao/ There are good candidates in the republican party . I like the republican party. I just dont like the candidate for presindet. In the future I feel like I could vote for republican As I used to be one but now Im not. /ao/ No 
347580	Stance on abortion /AE/ Their pro-business stances I do like that /AE/ No 
347603	everything, one they don't lie like the democrats, using what republicans say and say they have done that the republicans have done !E like the way pres trump in the past make the border closed and adding to it and trying to make it better AE his relationships with other world leaders we don't seem to have the problems we have now AE just waiting for him to become pres so he can make it better again. 
348052	They seem to work together better. They're more in the line on not spending so much money like the Dems. /AE/ They seem to be more in favor of working for the american people than the dems. /AE/ That's all I got I guess. 
348423	Their values of fiscal management has an appeal. Some of their views are more exteme than where I stand but the their views on abortion and human sexuality are closer to my values than the democratic party/ae/no 
348758	yes that they shot themselfs during the rnc and making grinder crash/ao.no 
348962	Their political values AE NO 
349098	generally more moderate REP are willing to negociatia accoss the ailes, and I approve of RE who want to approve good economic plans; 
349141	It seems to me that they are trying to get legislation passed that is working for the people/ae/I really don't know about the Repuclican Party. I just started watching them in 2020/ae/I like the idea of both parties to being bipartisan and working together to solve problems rather than creating problems or extending problems/ae/no 
349153	stance on military /ao/ and the border /ao/ no 
349275	The try to push jobs for the country 
349373	they handle things differently than the democrats /ao/ 
349381	They are more for the people/ae/no 
349414	The only reason I like tRUMP and the Republican party is because they are about benefiting the people and helping them. Most products you buy if its American made its a good product but if yo buy some of this other crap it costs a fortune and doesn't last. I think everything in America should be good quality. I think we need to concentrate on making Americas products better and bot buying foreign products that arent worth a crap 
349479	When were looking at a leader, you need someone coherent, Vance is well spoke and smart. We should have someone with strong leadership. Vance carries himself very well, and has strong confident answers. My values line themselves with Republicans just because how of and where I grew up. Trump rougher on foreign affairs, helping to keep manufacture factories here, I like the way the carry themselves about being clear and concise answers. Just being able to carry themselves strongly is a good thing. 
349491	My beliefs are same, policy on abortion, keeping sexes separate, their beliefs on improvement in the economy 
350030	some members have stood by thir values and spoken up against trump ae / no 
350183	I like their stand on the border. I like their stand on abortion. I like their stand on fossil fuels./ae/no 
350327	Republican Party, Umm they have a growth mindset a lot of opportunity creators. Those are you know they would be taking the economy to the growth back. /AO/ no 
350387	I think they make more economic reforms, 
350747	their view on abortion, immigration, and economic / ae/ no 
350868	economic policies 
350963	Republican party wants less government in your life they dont want to have to tell you you should have to make your own choices. Depending on foreign oil we have to depend on foreign il we have so much here. We have to buy pharmaceuticals, our military is weak, keep foreign countries from buying up our land. Let us protect ourselves first nadtake care of our people first so that we can be a strong prosperous nation ao/no 
351012	some goals they have in mind 
351650	I think they're handling things a little calmer right now than the democratic party /ae/ no 
352166	They try to be fair, they try. They so what is this word, you know how you don't see on the left or the right, they see straight ahead. And, you really do try to do the right thing. /AO/ They can use some young blood. They need to retire too and put something in there new to help them out. Because the world is changing, you know, because they are looking so much straight ahead but you are not looking around you. Take a moment and look around you. /AO/ No 
352264	The sense on how to run the economy and that how we are trying to fix the US first before others.ae/thats it 
352538	there favorable towards people who have a lot of money 
352901	i feel like th rep party stands on the for america they want america to be what it used to be the economy to be back and I think they are fighting fo rthe rights of the american people /ao/ no 
352953	They're against abortion. They want to get the econ going again. I think their foriegn policy is a lot better. /ae/no 
353415	I like, at least they say, that they would like to put more power to the states and pull back power from the federal government. /AE/No 
353659	Right now it'd be completely opposite of what I just told you, right now they're the group standing for the american people, and individuals. They're trying to protect our nation by trying to do something about the border, illegal aliens coming across the border, I think they're just trying to help the american people, whereas the other party's not. /ae/ I know all the republican people are not exactly what they say, but I believe the majority of them are, and I believe they are warm hearted and trying to help us /ae/ no 
353983	Immigration is out of control, like the conservative who are classical, they are more anti- EV policy 
354122	Decrease in government spending. /AE/ 
354233	The economy was when they were in office, housing was better, interest rates were better, lower gas prices, could afford things, people were safer, other countries seemed to be respectful of our country, not a laughing stock, some of the leaders are afraid of Donald Trump or had respect for him, all say that he's a busnineessm an ran it like a business and it ran good, doesn't see anything wrong with that. /Ae/ No 
354361	The republican party is for the people /AE/ They're trying to give back power to us as citizens /AE/ and restore what it is to be a democracy which is the power of the people over government to make choices and what best suits us is the people and not what suits the government /AE/ No 
354560	I think that taking a more agressive stance towards the border and a more aggressive stance towards supporting Isreal are laudible goals /AE/ No 
354599	their conservative agenda, but not the Magna extremist, portion of that, 
355008	Que manejo mejor la economia /ao/ No 
355272	Lower taxes. more money in your pocket no matter how you look at it. and thats the main difference a democrat wants to take from somebody and a repulican wants to earn and share. and we can go back to regan economics it's the trickle down and it works./ae/no 
355323	They are better with the economy/ae/no 
355622	Some economics, 
355699	i like their economic view points, their views on immigration and income tax or taxes in general, foreigh policy i like 
355971	What I like, they're patriotic, they, Im conservative in that I don't like to make big moves, I like to do things in increments and I'm more comfortable in policies like that. I'm not married but I believe in family issues and taking care of family, it's important for kids to grow up with two parents. I mean I care about the kids. And republicans generally stand for strong military, we need to protect our country. Freedom seems much more important to the republican party these days. People need to be self-reliant and hard-working, not assume that the government is oging to take care of them. /AE/ I think that's it. 
356695	I like how much they push for the farmers and whatnot, the little men /AE/ Nothing else that I can think of in all honesty 
356722	I feel like they handle the economy better and i also fell like i can trust them more than the democrats/ae/I like the way they handle immigration/ae/no 
356884	better economic policies better foreign relation policies/ ao/ somewhat better policies on immergration dispike emplamatation of the policies 
356927	I like the urge to be a self reliant country. And, they do typically say what they mean. /AE/ No 
357072	some conservative things can be good but I dont think thats how the GOP is today/ae/i think some things from the GOP were good in the past small government can have its place./ae/ 
357625	I like that we have a two party system, period. /AE/ No, Not in today's connotation of the republican pary anyway. 
357747	It's a party that still holds to its conservative values, they believe in the constitution and it's not something that isn't supposed to change, it's an anchor. I believe the republicans are fighting to maintain the essence of the constitution written by the founding fathers. /AE/ Republican party is trying to maintain the core essence of the republic. /AE/ I'm talking about the Judeo-Christian values that we as a nation were formed under. The republican party is party of common sense not nuvo thinking. /AE/ That's it. 
357891	Every now and then you run into one that actually cares about the country. Not terribly opposed to pro business economics. 
357911	lower taxes / ae / economic was better / ae / cost living was less / ae / border security was better /ae /better relationship with other countries / ae /no 
358037	Their views on money /ae/ no 
358067	more Republicans than Democrats seem to value a healthy amount of nationalism and generally speaking don't pander to the feelings over facts crowd/ae/no 
358072	they don't believe in abortion /ao/ no 
358094	I like it because they are conservative. 
358575	that there is a counter balance to powers and there is a pull towards the center/ae/no 
358578	Just that not that I like- I have no choice ?RQ/they have a good candidate that may bring us back to a time when we did not have to worry about getting arrested for we say/AE/No 
358730	They are master strategizers. /AO/ The fact that nobody really seems to like Donald Trump but they all seem to get behind him, is amazng to me. They are very clear about what their end game is. /AO/ No. 
358765	They strongly support the nuclear family. They do not accept the idea of transgenderism as openly as the democratic party. Most of their economic policies I agree with. There are some exceptions however. I don not think they are as nice or open to immigrants who are coming here but I do respect that they try to put things in practice to not let whoever in. But, I do wish the they woud come up with an immigration reform which is what Trump has mentioned already. I do like their views on race and I like their view on foreign policy mostly, with the excepption of some things. I like that they support the cops. And as opposed to the democratic party one of the first things they mention is an anti cop organization. Umm, I like their view on, i just generally feel that the economy does better under a republican congress or president and /AO/ I also like their views on drugs particular to marijuana as opposed to what Kamala wants to do about that issue. They are also a religious party. Their platform mentions God numerous times and being religious myself I like that. /AO/ No 
358780	pro business , lower taxes for workers /ao/no 
358797	Sense of community /ae/ that is all. 
359053	Their stance on crime, their perception on how to handle crime, that would be the biggest point, crime /AE/ No 
359188	I feel like they are trying to get inflation down. They try to keep illegal immigrants from coming into the country. They want fracking, the Democrats don't. /AO/ I just feel that the Republican party is trying to get the country back to where it was during the Regan years. /AO/ No 
359281	La inmigracion /AE/ No 
359345	use to stand for not alot of death seems to be the party of very good values, I dont see that any more. 
359646	their or conservative on abortion and meney; they tend to not raise taxes; they are more conservative being taught in schools; in geeral I ten to lean towards the conservative party aily for those reasons 
359760	They're letting americans be americans following the constitution. /AE/ They seems to put america first, they have pride in their country and their roots. /AE/ A lot but that covers the main issues I'm concerned about. 
359773	more orient towards middle class or working class people//ao// no 
359882	The only thing I like is that their trying. A/E Yes I am hopeful with the republicans. I know that Trump has done good before so I am hoping that if he is elected things will pick up. A/E No 
359989	I'm sure there are a lot of wonderful people running for offices, other than the presidency, that have, I just want to say that maybe are not so much for the trump situation /AE/ No 
360129	I do appreciate their..I do see benefit of smaller rather than bigger government and i do see that capitalism has it's place/ae/given that i grew up on a farm in the rural Midwest, I know my family benefits from the Republican Party/ae/no 
360494	When Donald Trump was president, the economy was good. I like Republicans. His policies are good; his relations with foreign countries are better than Biden's, to be honest. /ae/ That's the thing. 
360636	economic statu / ae / support for ciciv services like policy and miliatary / ae / religion values / ae / accounten ability for punishment for criminal /ae / support the 2nd amendman / ae / no 
360982	they do try to be more fiscally abanout thngs/ao/no 
361115	Stand for the consitutuino and uphold the constitiution and less goverment american values and they have the right plan to get america back on track and they are the party of free speech /AE/ thats it 
361718	i think some of them like Liz Cheney are well intentioned, I think members of the party get swept along with the people who are really in power, and like Liz Cheney but they are few and far in between. 
362090	They work for the people and they are honest and that they're trying to help the country not hurt it. /AE/ No 
362168	I like a lot of their policies, their platform AE 
362604	I like their economic policy, in practice it is practially good; I think they work better in practice, and I also apporve of their abortions plicyies; and I think we have shifted in s direction that the repiblican party supports the middle class more that the democtatic party does; 
362661	I feel that the R party wants to protect and honor individual freedoms, I appreciate the conservative fiscal responsibilities and the execution of those reponsibilites, I appriciate in particular my religious freedoms 
362782	Well the republicans are now what the democratic party used to be they're a party for the people /AE/ Yes, uh they're uh, they get out with the people you know they don't stay behind closed doors and hide /AE/ yeah, they're um uh, they mean what they say they're not out to lie to you just to get a vote /AE/ Yes there's all kinds of stuff, a lot of things, they're for the american people not against /AE/ yeah but it would take too long for me to digest the question and answer it properly so let's just go on 
362831	They are honest crooks. what you see is what your get. they will let you know up front if they are for your or against You. 
362840	Usually have less taxes, AE No 
362901	Their christian juedeo belives, I like they are tough on countries, I like trump. 
362971	Their stance on abortion, 
362976	Fiscal policies /ae/ No 
363127	Seems to have better economies. And, I feel that the policies that are created are more protective of the American people as a whole. /AO/No 
363455	The main thing that I like about the Republican is that I am very hopeful that they are going to turn things around about the economy and the immigration laws and the fentynl problems that we have in the US/ae/no 
363507	I like that they are foused on the American citizens/ae/no 
363630	They seem more pragmatic and interested in balancing the budget. /AO/ For the most part I like most of the people who represent the Republican party. /AO/ No 
363684	I've been raised republican, I like the more conservative values, they're against the transgender men playing women sports /AE/ just in general the conservativeness /AE/ That's good for now 
363801	They seem to push family values. I like that as a whole but I what they think are family values are skewed and old fashioned. What they see as family values has not changed since the 1920s. they seem very economy focused which I like. I think a strong economy is important. /AE/I dont think so. 
363934	like fiscal conservatism, strong foreign policy, and republican party cares more abt that 
363979	evrything, they are against slavery, to make sure that everybodys on rigt track to be successful, no poor no rich no nothing is left behind, everyone is 100% free/ao/no 
364230	Their care for the common person. The lonely, meek and struggling. no/ao/ 
364258	The majority of them are for america. /ae/no i think that pretty much cover 
364684	The republlican part is highyl dsciplined and are abe to push teir agenda forward because of their level of unity 
365029	in some ways giving people more power 
365110	I'd say their pro gun. Their take on immigration and their handle on it and try to keep the immigration number low. Not let so many people into the country. /AO/ How they handle the economy how they keep the cost of living lower and inflation lower. /AO/ No 
365117	Is reliable,AE/no 
365170	they say they're going to close the border down. maybe you have to get a passport/ae/No 
365212	the family values /ao/ no 
365449	Very much like the old republican party, I don't feel as if the republicanparty is the same as it used to be, I like the conservative views Ijust felt that things were handled better. I'm going back to Ronald Regan, Goldwater, and what I rememeber from my father going back so far. They are pretty much opposite how the democracts are. My stance on things, I'd feel better with them because pro-life, stronger on crime, stronger on the border, better economy, seem to spend money on better things. /AE/ No 
365496	they are consitant 
365669	i like there stance on the freedom of the people the freedom of speech the stace on guns and being able to have a gun, there more up to leaving things to the states instead of one federal givenerment/ao/no 
365679	The fiscally conservative rhetoric. /ae/I guess I will make that my main point. I don't know that they still believe all the stuff that I do. /ae/yeah. no no. 
365805	I could be wrong but I think that they are more trustworthy, more better for the american people. From seeing you know, republican president or democratic president, republian president seems to do wha tthey say they're gonna do, They seem to try to help, they do some tings, Im not saying they do good for the country but. My conscience is saying republicans do better for the people. But I dont vote straight republican or straight democrat, I have voted for democrats. /AE/ A lot of thimes when I've gotten things in the mail and I read what they're hoping to do, wther its for education or low income or whatever, most of the times I agree with what they say. I get these things in mail so i know what the person wants to do for our country. /AE/ Nothing I can think of right now. 
365943	They stick together, usually have a position that they;ll fight to the death for, to get their points accross /AE/ No 
366126	el personaje que va a ser presidente que es Trump porque es el muy fuerte. 
366241	they are more for the working class//ao// that's good enough 
366272	i think they are upfront , i think they want the best for the country and the people/ao/ no 
366281	I think that they care more about the people. I believe they're against abortion. No 
366544	They care about the economy. Basically like because they work a lot with major corporations and they are capitalist so they care about making sure theres a lot of money in the country. 
366799	there against abortion, housing and marketing prices was way down when they were in, more jobs, you can tell they are 100 % fr american citizens/ao/no 
366836	Their conviction /AE/ That's all, no 
366951	They have like a nice project into the future, economy wise helping you know, proejctions and. /AE/ No. 
367150	They are a check against on the extremism of the decrocratic party.AE/no 
367246	Their, they have more business scence ao//no 
367614	they know how to stick together /ao/ nope 
367771	I feel as though the Republican party as a whole feels as though they feel they know what's best for the country, they're really strong in their convictions and are on the same page as a group. I think of a team when I think of the Republican party. I think of a team that's very close knit. 
367960	Some of their ideas I guess. /AE/ 
368013	Common sense /ao/ they deal in objective reality /ao/ they are not against my religion /ao/ a lot they are for the family good eduction, economic persparity super energy /ao/ 
368251	I used to /ao/ its hard to identify what this party stands for , I respect people like mitt romney, lizz chaney, and was a fan of john mccain so I believe those morals of the republican party that no longer seem to exist/ao/no 
368346	i like that hey have been increasly growing with grassroot organic roots thats in favor of the middle class/ao/no 
368392	Their policies//ao// no 
368554	locally are fiscally resposible in terms of municipal and county govt, have no prolem with centrist republicans ae no 
368739	the Rep party say personaly responsiblity. if you have 8 or ten children you need to work and the gov can help you/ae/ but No support they need to work. 
368744	I like guns and things like that, so far they support my ideology on guns /ao/ border /ao/ no 
368836	They approach to taxation,AE, they support law enforcement,AE/no 
369260	Yes the support of the police, around the whole country. Stance on border control. Stance on world politics. Economy. That's about it. /AE/ Patriotism. Support of veterans. That's about it. 
369742	lesser of two evils, that's it 
369793	Liz Chaney; 
370665	I like how conservative they believe, how border control, how you're not catering to everybody's feelings, if someone wants to identify as a cat we're not putting a litter box in the back of a classroom, you're not catering to the simple fact that the economy is the Democrats have been in control of this country damn near the last 16 yrs, the whole Epstein island, the Clintons, the morals and values have been compromised by money greed or lust, Republicans not so much, they have standards and values they stand on whether it hurts someone's feelings or not /AE/ I think that's it 
370734	They're more for the people, and they're more for the people and trying to make things right. As for the democrats they're trying to screw up everything now, and I don't feelthat they're doing their job and how to help the people. /AE/ No. 
370887	They have more positive ways. I don't know what to say. /AE/ The Democrats are liberal and the Republicans are conservative and more favorable. /AE/ That's all. 
370912	they offer more jobs. bring people into the country if they are not Illegal. they 
371197	I like their policies, abortion, tax /AE/ spending /AE/ cutting the spending /AE/ no 
371396	i like the fact the suystem allows new facres to come in and they are fprt taxes. ao/no 
371599	They're involved. 
371601	Their cohesiveness as a group. They will work together ona bill or an idea even if they dont' strongly agree with it before moving forward. 
371622	aligns with his beliefs, 
371696	they seem to fight for the people a little more /ao/ 
371875	more conservative 
371898	In your mind and your experience what I have noticed, the economy seems to be better during a republican presidency.A/E 
372240	the ones thaT I SEE WORKING AND TRYING TO MKE IT BETTER THERE ARE BAD Fcrtions on both sides he g=has people GAINST HIMA LL AROUND HIM YOU KNOW THEY MUST BE DOING THINGS TO GET HIM OUT AND IN JAIL AND IN COURT. IT WASNT US WHO STARTED THE JANUARY 6TH THING THE DOORS WERE OPWN FROMTHE INSIDE AND WAVED THE PEOPLE IN/PEOPLE WERE BEING [PAID THAT WERE DRESSED LIKE THE PEOPLE THAT DAY. THEY INSTAGATED IT/WHAT ABOUT THE BOMB. THEY STILL havnt heard anything just like the shootwr his body was cremated. they should not let him take the podium adn he should not have spoken/ao 
372625	They're for the people. They benefit blue collar citizens. /ae/ No I'll stick with that. 
372767	At times a strong economy, my stocks are doing fine right now. Sometimes stocks tend to do better under republican though. /AE/ No. 
372998	They are behind Donald Trump. /ao/ no. 
373244	Like their stance on crime /ao/ right to bear arms, policy protecting it, their policies on stopping illegal immigration, why can't we come up together with a solution. Congress always kicking can, must be a better solution /ao/ 
373259	it was once the party of Lincoln. It used to be a good party. 
373353	they may work harder for the economy and for the seniors and hopefully for the disabled /AE/ no 
373611	less govt spending, a/e more emphasis on individual rights, a/e emphasis on state rights, a/e how better position on feds, a/e that's it 
373614	I like how it's original laws, it tries to stand at originality and doesn't try to change anything and I think that's for the better. /AE/ Not really. 
373659	they go on Bible principles, that's why I favor them, they are against abortion, more against than for anyway. They don't believe in this homosexual behavior going on, they don't believe in murdering babies, well some do /ao/ those are the main things: believe in law and order which the Bible teaches that, won't say Democratic party doesn't because they talking of praying... 
373727	 I think stronger family values a little bit, that they are very supportive of military and law enforcement ae/ they have a little more common sense about things /ae/ they are alittle bit more hands off of govt they dont want govt controlling to many aspects of peoples lives /ae/ they want more border security too. /ae/ no 
373749	i like that some of them, don't just follow, i do like that some of them do try to work with the democratics, i like that they do try to pass of some of the things, not everything is bad, unfortunately, DT made my mind not like him, because of lot of them follow him like a cult, and their afraid to speak up what they really think in my opinion because he retaliates. He retaliates, he fires everyone he doesn't like, threatenened to imprison and fire all the people he doesn't like 
373800	Their policies generally align with min/ae/no 
373845	being conservative theres a lot we have to go back to basics like prayer in school has been taken out ae/ consrevatine think more of the peple ather than one particular group or denomination should be everybody not just one entty or group ae/ thts it 
373980	Don't know 
374163	I like that they're still focused on individual rights instead of group rights and collective thinking. I like that most of them think that your kid doesn't belong to the government. They seem to still have pride for this nation. /AE/ They seem to understand middle class economy and want to keep protecting the middle class. /AE/ No 
374249	I like their stance on economics, on foreign policy, on the border and on abrtion /AE/And that's it. 
374556	in general I see the benefit of smaller federal govt. and larger states rights and fiscal conservatism/ae/if handle correctly those c ould be positive/ae/nop 
374749	they are for the people 
374805	the right to choose for abortion policies in general, gun laws, the right to bear arms and not be restricted/ae/no 
374823	pro 2nd ammendment a little too extreme and too lax about it /ao/ no 
374958	General stance on economic policies/ae/their stance on foreign relations and immigration/ae/I guess how they would feel about the nuclear family idea. I myself am not religious but I think that religion forms a good framework for a functioning society/ae/no 
375448	Concerned about the country as a whole, when someone from them talks they speak about the people, the country, whats good for the country /AE/ No 
375581	I like that they're conservatives. /AE/ There's not a whole lot I'm proud of them about. That's about it. 
375641	They are more corporate based.a/e 
375820	I think donald trump would make a good president since I used to have crush on him. /ao/ no 
375874	they believe in oil and gas, it pays our bills//ao// I have a lot more in common with the runners, it effects my live more with that party//ao/no 
375989	Their common sense values /AE/ That's good enough 
375993	The supplies are cheep, like gas, for food, for everything. /AE/ no 
376115	traditional values/tm/being able to have a one person income in a household/ like in the 60s when one person went out to work./ae/ 
376234	The republican party has talked about Israel, keeping the fight, defending its country. they all support Israel defending the country /ae/ no 
376557	they still belive in indivual effort, and some still believe in freedom and strong national standing but thyre in the minority now, ao/ 
376652	Traditionally spurring the economy, focusing on businesses, being tough in foreign policy, tough on crime /ae/ no 
376902	I do feel they are stronger on crime and immigration AE and national security AE 
376978	Que tienen mas opciones par arreglar el problema de la inflacion en el pais /ao/ probablemente generan mas trabajos. /ao/ No 
377074	I feel like its more individual. The government seems less involved. /AO/ NO 
377421	there is more conserative in the republican pary//ao// no 
377758	They don't want Govt to control everything, and they allign with my beliefs. 
377798	that, the majority of them are looking out for the US, the policies they are trying to put into law/ao/no 
377972	they are for the people, Americans first/AE/no 
377978	yea they dont have crazy ideas , and the democrats are too out in the oke world 
377981	that's a good question, um, I feel they are more truthful and that they are more patriotic and loyal /AE/ nah, I think that's it 
378058	economic planning/ae/respect for the constitution/ae/no 
378402	Republicans does well for the amreicans/ae/no 
378425	Lack of socialist policies. /AN/ No, that's good. 
378549	I feel like they are good on the business side of stuff//oa/no 
378604	Going to bring us out of this period of struggle. 
378893	i feel they are more honest, not 100% honest, but best hope. AE no 
378918	no 
378977	I don't totally dislike them, I think they are a strong persistent party /AE/ No 
378992	it seems like they control the gas prices and the economy oil, resources, I like that they pretty much control the resources /AE/ that's it 
379171	I like their stand on abortion and maybe trying to get our country back to some kind of descent prices and hold the line on illegal immigrants. /AE/ We just can't keep on feeding and giving to people that are illigal immigrants and take care of our people. /AE/ No. 
379202	I like the people who have left the Republican party. Mainly Cheney and Kinzinger. And I like the Lincoln Project/ae/no 
379245	economy/ae/no 
379384	They seem to be interested in the rule of law and how it applies to the constitution and visa-versa./ae/and they seem to be somewhat fiscally consciounce of the path our country is going/ae/no 
379495	i like that they have been able to give voice to people who may not have had access to gevernance./ ao/no 
379936	they're prolife/ae/they seem to be for less taxes/ae/no 
380124	I feel it's a party for the people of all layers and levels. /AO/ I think the focus is on the people, the focus is on our world standing, the focus is on jobs, and interest rates and helping the people. /AO/ No 
380185	some of the things they offered when trump was in office, we go a little more help on the republican side versus no we are getting less help. 
380685	Some of the values. 
380791	more hoest, no 
381048	teir stnds on things that are important to me for the most part ae/ no 
381267	Pro business, tries to stay out of the lives of citizens as much as possible, perspective on family and gun ownership are in line with what he feels is right, agree with immigration policy /AE/ No 
381281	their more conservative, I believe in recent years their elected officials have been not as out there on the spectrum as the Democrats have been and I think they are better at international relations /AE/ no 
381416	they are conservative//ao/ no 
381884	Conservative speaking, 
381908	they do lots of thigs opposite to edemicatic party,fix the issues, stop olegl immigrants, do more things to criminals, lower infltion, lower taxes, opposte way to fis issues we ar afcing ae/ thats it 
382062	MOST OF THEIR POLOICIES AND IMMAGRATION AND ECONOMY/AO/NO 
382412	friednly; you can find them to be decent human beings; 
382868	 I feel like they will get the economy on the right path again//ao// they are not after our guns//ao//no 
383038	I believe their foreign policies are their sstrong point and how they handle foreign affairs 
383155	Let's see. I think they're more pro business which I like. I do like that, I think they're more patriotic I do like that they think of more americans. /AE/ Um we'll go with that. 
383276	they care aobut america, they care about foreign countries/ao/they care about the fellow man and they try to be truthful/ao/no 
383295	they tend I suppose to get people to get the economy boosted better when rep in there we have a better econonmy and better public relations /ae/ no 
383760	I like that the leader.... he had control of having too many illegal imigrants at that time. We don't need illegal people/ae/no 
383810	border, policies, conservatives policies, mostly the economic policies, i know they don't all, but mostly against abortion 
383828	Sensativity to border issues /AE/ more in tune with rural voters /AE/ No 
383921	seems like they try and do more for the middle class, and low income 
384006	They kept immigration low and I felt like our country was stronger. /AE/ No. 
384086	conservative, found to end racism and slavary, anti Andrew Jacsoon, conservative value. more ideal and values at the core that represents america, and the ideas. 
384367	borfer control and how they want to run the governmebnt, just their views in general i agree with everything they they want to do 
384490	Smaller government, better handling internation affairs 
384581	supposed to be a little more conservative, slower , more slowly into the decline of society 
384582	i like their reteric when it comes with taxes and spending and foreign policy and rteric is the ephsasis aon taxes spending and foreign policy/ao/some of the reteric an originalists about the costitution and the reteric/ao/no 
384766	Fiscal responsibility. The focus maybe on our veterans and people that have served our country. /AE/ Nope. 
385243	I like their focus on America First; I like their focus on creating job opportunities and , financial plicies 
385966	I like their position on secured borders, come to our country but doo it the right way, and I like their crime position and basically their policies to help stimulate the economy withou eaising prices. You raise minimum wage to 30 dollars thats going to jack the price of that burger to 50. Theyve got to come in tandem theyve got to find a right way. ao/no 
386140	just the kind of opposite of what I just said of Ds. they're have more of a conservative, if you work hard you get what you put in type of thing 
386678	I like our leaders here in the state, I think they're very good, very energetic and they protect our religious beliefs. /AE/ 
387027	They probably have some good people/ae/no 
387508	I do think they have a more unified presentation that helps to increase their support./ae/no 
387656	i like there strong stances on a lor of the issues and its not too far out of the norm, i like they stand behind police that they have tradtional family values/ao/no 
387657	I have in the past with certain people, but not recently. /AE/ Not really. People who are spouting hate and bigotry and racism it just... /AE/ No. 
387726	Yeah there is, I like that republicans are more about keeping the constitution and that they're about keeping our rights with the states. I think that is something we need to return to is keeping more rights with the states. /AO/ NO 
387728	that their against abortion; they are pro life; i think they have a beter um, how do I put it, I think the things are learning in school are off the rails, and I think the Republucan party is more conervative; 
387887	They keep a old school tradition as far as they make money for the economy and well right now the form spending they get that under control the last thing right now that during recessionary periods they bring money to the economy./ AE/ no thats it. 
387997	the economy is the big thing, Trump can really handle money, so he takes care of us, he's the guy for that 
388014	I just feel like the country always comes first /AE/ no thats the main point for me 
388372	There's a small majority of them that actually care about spending and getting that under control like the deficit. I guess a small minority that actually care about it because I actually do care that's important /AE/ No 
388376	infrequently they can work on bi partisan efforts/ae/no 
388443	I do think that their approach to the economy is better for the American people overall /AE/ I don't like some of things, I don't agree 100% on either party /AE/ no I can't think of anything else 
388458	border control crime, the econmy ae/ freedom ae no 
388490	their focus on immigrants, economy, dealing with forign countries, focus is on th american peole ae/ thats good 
388827	being on code is a term when ever they have a push that they want to push they all get together and they push it they are on code and they push the code instead of all the arguing and bickering they stay and 
388929	theyre pro life, theyre stance on national security with other nations and less social spending and more national security spending/ao/ tighter control on illegal immigrants. 
388959	i think its time for a change/ao/no 
